src_name,dst_name,classification
ip_t_dly_puc__maf_kgh,ip_t_dly_puc__maf_kgh,DIRECT_COPY
ip_t_dly_sap__maf_kgh,ip_t_dly_sap__maf_kgh,DIRECT_COPY
ip_t_rst_cru__vs_sp_cru,ip_t_rst_cru__vs_sp_cru,DIRECT_COPY
ip_t_seg_grd_end_aj__n,ip_t_seg_grd_end_aj__n,DIRECT_COPY
ip_t_seg_grd_st_1_aj__n__maf,ip_t_seg_grd_st_1_aj__n__maf,DIRECT_COPY
ip_t_seg_grd_st_2_aj__n__maf,ip_t_seg_grd_st_2_aj__n__maf,DIRECT_COPY
ip_t_vls_cyc_afl_max__n__maf,ip_t_vls_cyc_afl_max__n__maf,DIRECT_COPY
ip_t_vls_cyc_afr_max__n__maf,ip_t_vls_cyc_afr_max__n__maf,DIRECT_COPY
ip_t_vls_cycnr_afl_max__n__maf,ip_t_vls_cycnr_afl_max__n__maf,DIRECT_COPY
ip_t_vls_cycnr_afr_max__n__maf,ip_t_vls_cycnr_afr_max__n__maf,DIRECT_COPY
ip_tco_sub_inc__maf_kgh,ip_tco_sub_inc__maf_kgh,DIRECT_COPY
ip_temp_sub_ecf_ini__tco__tam,ip_temp_sub_ecf_ini__tco__tam,DIRECT_COPY
ip_thd_at_er__n_32__maf,ip_thd_at_er__n_32__maf,DIRECT_COPY
ip_thd_mt_er__n_32__maf,ip_thd_mt_er__n_32__maf,DIRECT_COPY
ip_ti_add_cop_step_2__n__maf,ip_ti_add_cop_step_2__n__maf,DIRECT_COPY
ip_ti_add_dly__vb,ip_ti_add_dly__vb,DIRECT_COPY
ip_ti_amp_cor__fac_amp,ip_ti_amp_cor__fac_amp,DIRECT_COPY
ip_ti_cast__tia__tco,ip_ti_cast__tia__tco,DIRECT_COPY
ip_ti_cast_rest__tco,ip_ti_cast_rest__tco,DIRECT_COPY
ip_ti_cat_var__n__maf,ip_ti_cat_var__n__maf,DIRECT_COPY
ip_ti_ch__n__maf,ip_ti_ch__n__maf,DIRECT_COPY
ip_ti_cop_nr_1_1__n__maf,ip_ti_cop_nr_1_1__n__maf,DIRECT_COPY
ip_ti_cop_nr_1_2__n__maf,ip_ti_cop_nr_1_2__n__maf,DIRECT_COPY
ip_ti_cop_nr_2_1__n__maf,ip_ti_cop_nr_2_1__n__maf,DIRECT_COPY
ip_ti_cop_nr_2_2__n__maf,ip_ti_cop_nr_2_2__n__maf,DIRECT_COPY
ip_ti_cop_nr_3_1__n__maf,ip_ti_cop_nr_3_1__n__maf,DIRECT_COPY
ip_ti_cop_nr_3_2__n__maf,ip_ti_cop_nr_3_2__n__maf,DIRECT_COPY
ip_ti_cop_nr_4_1__n__maf,ip_ti_cop_nr_4_1__n__maf,DIRECT_COPY
ip_ti_cop_nr_4_2__n__maf,ip_ti_cop_nr_4_2__n__maf,DIRECT_COPY
ip_ti_cop_nr_5_1__n__maf,ip_ti_cop_nr_5_1__n__maf,DIRECT_COPY
ip_ti_cop_nr_5_2__n__maf,ip_ti_cop_nr_5_2__n__maf,DIRECT_COPY
ip_ti_cr_cast__cyc__tco,ip_ti_cr_cast__cyc__tco,DIRECT_COPY
ip_ti_cr_cst__cyc__tco,ip_ti_cr_cst__cyc__tco,DIRECT_COPY
ip_ti_cr_neg_fast_wf__n,ip_ti_cr_neg_fast_wf__n,DIRECT_COPY
ip_ti_cr_pos_fast_wf__n,ip_ti_cr_pos_fast_wf__n,DIRECT_COPY
ip_ti_cst__n__tco,ip_ti_cst__n__tco,DIRECT_COPY
ip_ti_cst_amp_cor__fac_amp,ip_ti_cst_amp_cor__fac_amp,DIRECT_COPY
ip_ti_fac_fast_wf__maf__n,ip_ti_fac_fast_wf__maf__n,DIRECT_COPY
ip_ti_fac_sawup_at__tco__t_ast,ip_ti_fac_sawup_at__tco__t_ast,DIRECT_COPY
ip_ti_fac_sawup_mt__tco__t_ast,ip_ti_fac_sawup_mt__tco__t_ast,DIRECT_COPY
ip_ti_fac_slow_wf__maf__n,ip_ti_fac_slow_wf__maf__n,DIRECT_COPY
ip_ti_fast_wf_thd_min__tco,ip_ti_fast_wf_thd_min__tco,DIRECT_COPY
ip_ti_fl__n,ip_ti_fl__n,DIRECT_COPY
ip_ti_inc_cop__iga_dif__t,ip_ti_inc_cop__iga_dif__t,DIRECT_COPY
ip_ti_is__n_dif_cor,ip_ti_is__n_dif_cor,DIRECT_COPY
ip_ti_lgrd_ast__tco,ip_ti_lgrd_ast__tco,DIRECT_COPY
ip_ti_pvs__pvs__n,ip_ti_pvs__pvs__n,DIRECT_COPY
ip_ti_pvs_cr_ae__n,ip_ti_pvs_cr_ae__n,DIRECT_COPY
ip_ti_pvs_cr_pur__n,ip_ti_pvs_cr_pur__n,DIRECT_COPY
ip_ti_pvs_tco_fac__tco,ip_ti_pvs_tco_fac__tco,DIRECT_COPY
ip_ti_pvs_vo_fac__vo,ip_ti_pvs_vo_fac__vo,DIRECT_COPY
ip_ti_sawup__n__maf,ip_ti_sawup__n__maf,DIRECT_COPY
ip_ti_slow_wf_thd_min__tco,ip_ti_slow_wf_thd_min__tco,DIRECT_COPY
ip_ti_st_rest__tco,ip_ti_st_rest__tco,DIRECT_COPY
ip_ti_tco_1_is_ivvt__n__maf,ip_ti_tco_1_is_ivvt__n__maf,DIRECT_COPY
ip_ti_tco_2_is_ivvt__n__maf,ip_ti_tco_2_is_ivvt__n__maf,DIRECT_COPY
ip_ti_tco_2_pl_ivvt_1__n__maf,ip_ti_tco_2_pl_ivvt_1__n__maf,DIRECT_COPY
ip_ti_tco_2_pl_ivvt_2__n__maf,ip_ti_tco_2_pl_ivvt_2__n__maf,DIRECT_COPY
ip_ti_tco_ch__tco,ip_ti_tco_ch__tco,DIRECT_COPY
ip_ti_tco_ch_is__tco,ip_ti_tco_ch_is__tco,DIRECT_COPY
ip_ti_tco_neg_fast_wf__n__tco,ip_ti_tco_neg_fast_wf__n__tco,DIRECT_COPY
ip_ti_tco_neg_wf__n__tco,ip_ti_tco_neg_wf__n__tco,DIRECT_COPY
ip_ti_tco_pos_fast_wf__n__tco,ip_ti_tco_pos_fast_wf__n__tco,DIRECT_COPY
ip_ti_tco_pos_wf__n__tco,ip_ti_tco_pos_wf__n__tco,DIRECT_COPY
ip_ti_tco_wup__tco__tco_st,ip_ti_tco_wup__tco__tco_st,DIRECT_COPY
ip_ti_vo_fast_wf__vo,ip_ti_vo_fast_wf__vo,DIRECT_COPY
ip_ti_vo_slow_wf__vo,ip_ti_vo_slow_wf__vo,DIRECT_COPY
ip_ti_vo_wup__tco__vo,ip_ti_vo_wup__tco__vo,DIRECT_COPY
ip_ti_wup__n__maf,ip_ti_wup__n__maf,DIRECT_COPY
ip_tia__v_tia,ip_tia__v_tia,DIRECT_COPY
ip_tib__n__maf,ip_tib__n__maf,MANUAL_REVIEW
ip_tipr_cst__tco,ip_tipr_cst__tco,DIRECT_COPY
ip_tmag__toil__tco,ip_tmag__toil__tco,DIRECT_COPY
ip_toil__v_toil,ip_toil__v_toil,DIRECT_COPY
ip_toil_max_ivvt__n,ip_toil_max_ivvt__n,DIRECT_COPY
ip_toil_max_ivvt_diag__n,ip_toil_max_ivvt_diag__n,DIRECT_COPY
ip_toil_min_ivvt_diag__n,ip_toil_min_ivvt_diag__n,DIRECT_COPY
ip_tors_1_at__n_32,ip_tors_1_at__n_32,DIRECT_COPY
ip_tors_1_at_er__n_32__maf,ip_tors_1_at_er__n_32__maf,DIRECT_COPY
ip_tors_1_mt__n_32,ip_tors_1_mt__n_32,DIRECT_COPY
ip_tors_1_mt_er__n_32__maf,ip_tors_1_mt_er__n_32__maf,DIRECT_COPY
ip_tors_2_at__n_32,ip_tors_2_at__n_32,DIRECT_COPY
ip_tors_2_at_er__n_32__maf,ip_tors_2_at_er__n_32__maf,DIRECT_COPY
ip_tors_2_mt__n_32,ip_tors_2_mt__n_32,DIRECT_COPY
ip_tors_2_mt_er__n_32__maf,ip_tors_2_mt_er__n_32__maf,DIRECT_COPY
ip_tors_3_at__n_32,ip_tors_3_at__n_32,DIRECT_COPY
ip_tors_3_at_er__n_32__maf,ip_tors_3_at_er__n_32__maf,DIRECT_COPY
ip_tors_3_mt__n_32,ip_tors_3_mt__n_32,DIRECT_COPY
ip_tors_3_mt_er__n_32__maf,ip_tors_3_mt_er__n_32__maf,DIRECT_COPY
ip_tors_4_at__n_32,ip_tors_4_at__n_32,DIRECT_COPY
ip_tors_4_at_er__n_32__maf,ip_tors_4_at_er__n_32__maf,DIRECT_COPY
ip_tors_4_mt__n_32,ip_tors_4_mt__n_32,DIRECT_COPY
ip_tors_4_mt_er__n_32__maf,ip_tors_4_mt_er__n_32__maf,DIRECT_COPY
ip_tors_5_at__n_32,ip_tors_5_at__n_32,DIRECT_COPY
ip_tors_5_at_er__n_32__maf,ip_tors_5_at_er__n_32__maf,DIRECT_COPY
ip_tors_5_mt__n_32,ip_tors_5_mt__n_32,DIRECT_COPY
ip_tors_5_mt_er__n_32__maf,ip_tors_5_mt_er__n_32__maf,DIRECT_COPY
ip_tqfr__n__maf,ip_tqfr__n__maf,MANUAL_REVIEW
ip_tqi_maf__n__maf,ip_tqi_maf__n__maf,MANUAL_REVIEW
ip_vls_cat_max_cycnr__maf_kgh,ip_vls_cat_max_cycnr__maf_kgh,DIRECT_COPY
ip_vls_sp_dly__n__maf,ip_vls_sp_dly__n__maf,DIRECT_COPY
ip_vol_im__n__maf_mes,ip_vol_im__n__maf_mes,DIRECT_COPY
ip_vol_im_neg__n__maf_mes,ip_vol_im_neg__n__maf_mes,DIRECT_COPY
