src_name,dst_name,classification
id_ti_cor_cyl_off__n,id_ti_cor_cyl_off__n,DIRECT_COPY
id_ti_dec_wf__n,id_ti_dec_wf__n,DIRECT_COPY
id_ti_inc_wf__n,id_ti_inc_wf__n,DIRECT_COPY
id_ti_tco_neg_wf__tco,id_ti_tco_neg_wf__tco,DIRECT_COPY
id_ti_tco_pos_wf__tco,id_ti_tco_pos_wf__tco,DIRECT_COPY
id_vim_fl__n_vim,id_vim_fl__n_vim,DIRECT_COPY
id_vim_pl__n_vim__maf,id_vim_pl__n_vim__maf,DIRECT_COPY
id_vls_down_crlc__maf_kgh,id_vls_down_crlc__maf_kgh,DIRECT_COPY
ip_accin_dly_2__n,ip_accin_dly_2__n,DIRECT_COPY
ip_accin_dly_3__n,ip_accin_dly_3__n,DIRECT_COPY
ip_acin_n_sp_is__tco,ip_acin_n_sp_is__tco,DIRECT_COPY
ip_cam_sp_tco_1_ex_fl__n,ip_cam_sp_tco_1_ex_fl__n,DIRECT_COPY
ip_cam_sp_tco_1_in_fl__n,ip_cam_sp_tco_1_in_fl__n,DIRECT_COPY
ip_cam_sp_tco_2_ex_fl__n,ip_cam_sp_tco_2_ex_fl__n,DIRECT_COPY
ip_cam_sp_tco_2_in_fl__n,ip_cam_sp_tco_2_in_fl__n,DIRECT_COPY
ip_cast_cycnr_st_ast__n__maf,ip_cast_cycnr_st_ast__n__maf,DIRECT_COPY
ip_cppwm_cps__cppwm,ip_cppwm_cps__cppwm,DIRECT_COPY
ip_cppwm_max__n__maf,ip_cppwm_max__n__maf,DIRECT_COPY
ip_cppwm_min__n__maf,ip_cppwm_min__n__maf,DIRECT_COPY
ip_cppwm_min_cat_var__n__maf,ip_cppwm_min_cat_var__n__maf,DIRECT_COPY
ip_cps_dif_map__n__maf_cor,ip_cps_dif_map__n__maf_cor,DIRECT_COPY
ip_cps_vb_add__vb,ip_cps_vb_add__vb,DIRECT_COPY
ip_crlc_dly_i__maf_kgh,ip_crlc_dly_i__maf_kgh,DIRECT_COPY
ip_crlc_drv2_at_er__n_32,ip_crlc_drv2_at_er__n_32,DIRECT_COPY
ip_crlc_drv2_mt_er__n_32,ip_crlc_drv2_mt_er__n_32,DIRECT_COPY
ip_crlc_maf_ivvt__n__maf_sub_diag,ip_crlc_maf_ivvt__n__maf_sub_diag,DIRECT_COPY
ip_cur_igc_sp__n__maf,ip_cur_igc_sp__n__maf,DIRECT_COPY
ip_dist_min__tco_st,ip_dist_min__tco_st,DIRECT_COPY
ip_dri_n_sp_add_heat__tco,ip_dri_n_sp_add_heat__tco,DIRECT_COPY
ip_dri_n_sp_is__tco,ip_dri_n_sp_is__tco,DIRECT_COPY
ip_ectpwm_i__tco_dif,ip_ectpwm_i__tco_dif,DIRECT_COPY
ip_ectpwm_p__tco_dif,ip_ectpwm_p__tco_dif,DIRECT_COPY
ip_eoi_ti_tra_ivvt__n__cam_av_in,ip_eoi_ti_tra_ivvt__n__cam_av_in,DIRECT_COPY
ip_eoi_tipr__tco,ip_eoi_tipr__tco,DIRECT_COPY
ip_fac_cam_sp_ex_is__tco__tco_st,ip_fac_cam_sp_ex_is__tco__tco_st,DIRECT_COPY
ip_fac_cam_sp_ex_pl__tco__tco_st,ip_fac_cam_sp_ex_pl__tco__tco_st,DIRECT_COPY
ip_fac_cam_sp_in_is__tco__tco_st,ip_fac_cam_sp_in_is__tco__tco_st,DIRECT_COPY
ip_fac_cam_sp_in_pl__tco__tco_st,ip_fac_cam_sp_in_pl__tco__tco_st,DIRECT_COPY
ip_fac_cat_dly__cat_diag,ip_fac_cat_dly__cat_diag,DIRECT_COPY
ip_fac_ctl_cc_cru_ac__t_ctl_cru,ip_fac_ctl_cc_cru_ac__t_ctl_cru,DIRECT_COPY
ip_fac_ctl_cc_cru_deacc__tctlcru,ip_fac_ctl_cc_cru_deacc__tctlcru,DIRECT_COPY
ip_fac_ctl_cru_ac__t_ctl_cru,ip_fac_ctl_cru_ac__t_ctl_cru,DIRECT_COPY
ip_fac_ctl_cru_deacc__t_ctl_cru,ip_fac_ctl_cru_deacc__t_ctl_cru,DIRECT_COPY
ip_fac_ctl_cru_rest__t_ctl_cru,ip_fac_ctl_cru_rest__t_ctl_cru,DIRECT_COPY
ip_fac_dec_cp__maf_kgh,ip_fac_dec_cp__maf_kgh,DIRECT_COPY
ip_fac_dly_p__maf_kgh,ip_fac_dly_p__maf_kgh,DIRECT_COPY
ip_fac_drv2_at_er__n_32,ip_fac_drv2_at_er__n_32,DIRECT_COPY
ip_fac_drv2_mt_er__n_32,ip_fac_drv2_mt_er__n_32,DIRECT_COPY
ip_fac_er__n__maf,ip_fac_er__n__maf,DIRECT_COPY
ip_fac_iga_ch_2__tco__t_ast,ip_fac_iga_ch_2__tco__t_ast,DIRECT_COPY
ip_fac_iga_tqr__iga_dif,ip_fac_iga_tqr__iga_dif,DIRECT_COPY
ip_fac_igcfb__n__maf,ip_fac_igcfb__n__maf,DIRECT_COPY
ip_fac_inc_cp__maf_kgh,ip_fac_inc_cp__maf_kgh,DIRECT_COPY
ip_fac_is_ivvt__tco__tco_st,ip_fac_is_ivvt__tco__tco_st,DIRECT_COPY
ip_fac_isapwm_n_sp_add_sif__tco,ip_fac_isapwm_n_sp_add_sif__tco,DIRECT_COPY
ip_fac_isapwm_vb__vb,ip_fac_isapwm_vb__vb,DIRECT_COPY
ip_fac_ivvtpwm_vb__vb,ip_fac_ivvtpwm_vb__vb,DIRECT_COPY
ip_fac_knk_0__n__maf,ip_fac_knk_0__n__maf,DIRECT_COPY
ip_fac_knk_1__n__maf,ip_fac_knk_1__n__maf,DIRECT_COPY
ip_fac_knk_2__n__maf,ip_fac_knk_2__n__maf,DIRECT_COPY
ip_fac_knk_3__n__maf,ip_fac_knk_3__n__maf,DIRECT_COPY
ip_fac_knk_4__n__maf,ip_fac_knk_4__n__maf,DIRECT_COPY
ip_fac_knk_5__n__maf,ip_fac_knk_5__n__maf,DIRECT_COPY
ip_fac_knk_diag__tia__tco,ip_fac_knk_diag__tia__tco,DIRECT_COPY
ip_fac_lam_dly__n__maf,ip_fac_lam_dly__n__maf,DIRECT_COPY
ip_fac_lam_pu__tco,ip_fac_lam_pu__tco,DIRECT_COPY
ip_fac_lgrd_cru_rest__vs_sp_dif,ip_fac_lgrd_cru_rest__vs_sp_dif,DIRECT_COPY
ip_fac_lgrd_cru_tip__vs_sp_dif,ip_fac_lgrd_cru_tip__vs_sp_dif,DIRECT_COPY
ip_fac_maf_sub_ivvt__maf_sub_diag,ip_fac_maf_sub_ivvt__maf_sub_diag,DIRECT_COPY
ip_fac_n_sp_add_sif__tco,ip_fac_n_sp_add_sif__tco,DIRECT_COPY
ip_fac_pl_ivvt__tco__tco_st,ip_fac_pl_ivvt__tco__tco_st,DIRECT_COPY
ip_fac_pq_isa__isapwm,ip_fac_pq_isa__isapwm,DIRECT_COPY
ip_fac_ramp_cp__lamvdifcp__faccp,ip_fac_ramp_cp__lamvdifcp__faccp,DIRECT_COPY
ip_fac_t_accin_inc__n,ip_fac_t_accin_inc__n,DIRECT_COPY
ip_fac_thd_er__tco,ip_fac_thd_er__tco,DIRECT_COPY
ip_fac_ti_cat_var__tco,ip_fac_ti_cat_var__tco,DIRECT_COPY
ip_fac_tia_tco__tco__tia,ip_fac_tia_tco__tco__tia,DIRECT_COPY
ip_fac_tia_tco_is__tco__tia,ip_fac_tia_tco_is__tco__tia,DIRECT_COPY
